Node Contaminant;Jumlah Sensor;Algorithm;Sensor Placement;Score
28;5;Greedy;[10, 1, 2, 3, 4];[1.0, 0.0, 0.0, 0.0, 0.0]
29;2;Greedy+ev+bw;[1, 2];[1.0, 0.0]
29;2;Greedy;[50, 38];[1.0, 0.9672131147540983]
29;3;Greedy+ev+bw;[1, 2, 3];[1.0, 0.0, 0.0]
29;3;Greedy;[50, 38, 37];[1.0, 0.9672131147540983, 0.01639344262295082]
29;4;Greedy+ev+bw;[1, 2, 3, 4];[1.0, 0.0, 0.0, 0.0]
29;4;Greedy;[50, 38, 37, 1];[1.0, 0.9672131147540983, 0.01639344262295082, 0.0]
29;5;Greedy+ev+bw;[1, 2, 3, 4];[1.0, 0.0, 0.0, 0.0]
29;5;Greedy;[50, 38, 37, 1, 2];[1.0, 0.9672131147540983, 0.01639344262295082, 0.0, 0.0]
30;2;Greedy+ev+bw;[1, 2];[0.0, 0.0]
30;2;Greedy;[38, 1];[1.0, 0.0]
30;3;Greedy+ev+bw;[1, 2];[0.0, 0.0]
30;3;Greedy;[38, 1, 2];[1.0, 0.0, 0.0]
30;4;Greedy+ev+bw;[1, 2];[0.0, 0.0]
30;4;Greedy;[38, 1, 2, 3];[1.0, 0.0, 0.0, 0.0]
30;5;Greedy+ev+bw;[1, 2];[0.0, 0.0]
30;5;Greedy;[38, 1, 2, 3, 4];[1.0, 0.0, 0.0, 0.0, 0.0]
31;2;Greedy+ev+bw;[1, 2];[1.0, 0.0]
31;2;Greedy;[15, 16];[1.0, 0.9833333333333333]
31;3;Greedy+ev+bw;[1, 2, 3];[1.0, 0.0, 0.0]
31;3;Greedy;[15, 16, 20];[1.0, 0.9833333333333333, 0.9833333333333333]
31;4;Greedy+ev+bw;[1, 2, 3, 4];[1.0, 0.0, 0.0, 0.0]
31;4;Greedy;[15, 16, 20, 21];[1.0, 0.9833333333333333, 0.9833333333333333, 0.9833333333333333]
31;5;Greedy+ev+bw;[1, 2, 3, 4, 5];[1.0, 0.0, 0.0, 0.0, 0.0]
31;5;Greedy;[15, 16, 20, 21, 22];[1.0, 0.9833333333333333, 0.9833333333333333, 0.9833333333333333, 0.9833333333333333]
32;2;Greedy+ev+bw;[1, 2];[1.0, 0.0]
